album,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
She Will Be Loved,Maroon 5,spotify:track:7sapKrjDij2fpDVj0GxP66,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.037
Green Car,Not Available,spotify:track:3pg3psGPtSAAepxydyoTiW,0.364,0.906,7,-6.878,1,0.104,0.000424,0.0,0.371,0.463,184.98
Don't You Want Me,The Human League,spotify:track:3L7RtEcu1Hw3OXrpnthngx,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656
Prisoner to My Emotions,Trayci Jenkins and the Jenkenettes,spotify:track:6TX8a0et6zVPhfAQinxfzD,0.544,0.665,10,-6.771,0,0.0301,0.061,0.000221,0.112,0.285,134.137
My Life Story,MxPx,spotify:track:1bDJ2cu0mHrlkouazutEj5,0.364,0.981,9,-3.848,1,0.0787,0.00316,0.0,0.152,0.437,185.698
Praise the Lord and Pass the Ammunition,Kay Kyser & His Orchestra,spotify:track:7wlkvrgk3QNzv5qE0jT9Gm,0.48,0.563,7,-5.939,1,0.0304,0.865,0.0018,0.195,0.77,130.889
Escher's World,Chagall Guevara,spotify:track:6vfdKlKRqFlm0Enz4M3BcH,0.58,0.862,2,-9.446,1,0.0474,0.00746,0.000214,0.799,0.676,130.218
My Way,Frank Sinatra,spotify:track:6lTTzSk1hRrxp4VMwXBp2l,0.279,0.454,2,-7.733,1,0.0316,0.395,0.0,0.198,0.216,150.661
One Last Drink,Enter The Haggis,spotify:track:156fYYicI5aC1NmWgU5F4R,0.618,0.77,9,-4.589,1,0.115,0.0389,0.0,0.0732,0.776,135.028
Violent Blue,Chagall Guevara,spotify:track:5OiBqALzBt8wYBs29hJ2YN,0.51,0.893,7,-9.821,1,0.0588,0.0058,0.00158,0.308,0.628,129.092
Murder In The Big House,Chagall Guevara,spotify:track:1k4aMdgoToH5RZDsrbup2e,0.573,0.899,4,-10.561,0,0.0644,0.0127,0.00557,0.138,0.499,122.032
Heart-Shaped Box,Nirvana,spotify:track:11LmqTE2naFULdEP94AUBa,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006
Smells Like Teen Spirit,Nirvana,spotify:track:5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
Set It Off,Thousand Foot Krutch,spotify:track:2TiX0h796QjWt0gHGeNOMB,0.512,0.714,2,-4.878,1,0.147,0.00239,0.0,0.244,0.497,82.723
Cold Song 2013 - DJ Hell Remix,DJ Hell,spotify:track:33CkjUEwsiNTunPEyIcxT1,0.66,0.806,1,-8.643,1,0.043,0.0226,0.268,0.11,0.0398,117.008
Crazy,Gnarls Barkley,spotify:track:2N5zMZX7YeL1tico8oQxa9,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963
Pity Party,Melanie Martinez,spotify:track:3fo6DYGktjENCiagUeU9yH,0.716,0.73,6,-4.126,0,0.0364,0.058,7.32e-06,0.151,0.339,136.05
Friends Theme - I'll Be There for You,The Rembrandts,spotify:track:1Pdsl0V5VWwnEw3rdg3zRY,0.422,0.898,2,-5.521,1,0.0452,0.000979,0.0,0.0781,0.527,95.284
Today 4 U,Wilson Jermaine Heredia,spotify:track:7AznNC0oIieN4mdxNKF5Oj,0.634,0.837,7,-8.899,1,0.0971,0.0256,0.0,0.198,0.519,131.85
Rent,Anthony Rapp,spotify:track:63n5l8cXGCqPW4wbjrVdpZ,0.438,0.726,7,-6.91,1,0.139,0.0259,0.0,0.749,0.438,176.574
Left Outside Alone,Anastacia,spotify:track:3xl7PsO7Hzuig6To9FgDm6,0.663,0.746,2,-3.567,0,0.0321,0.0697,0.0,0.0929,0.325,102.847
Sick and Tired,Anastacia,spotify:track:6WMQVizkSPAufOGOk2x4dL,0.595,0.87,0,-4.495,1,0.0394,0.0107,0.0,0.288,0.494,99.741
We Can't Stop,Miley Cyrus,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003
Loose Lips,The Ballroom Thieves,spotify:track:0fpIXr7pP8DBc3BGZMNxXq,0.727,0.736,6,-6.422,0,0.0466,0.54,0.0,0.115,0.756,119.979
Rehab,Amy Winehouse,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515
Tango: Maureen,Fredi Walker,spotify:track:7IqFwNJih9ZD2oV7IWJT0N,0.67,0.404,8,-10.855,1,0.188,0.317,0.0,0.22,0.622,131.507
Somebody Told Me,The Killers,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,0.509,0.987,10,-3.198,0,0.0886,8.05e-05,0.000928,0.119,0.647,138.039
Centuries,Fall Out Boy,spotify:track:04aAxqtGp5pv12UXAg4pkq,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042
That Time,Regina Spektor,spotify:track:2lLZotRXsQL3k2xX8rhl7q,0.603,0.697,9,-5.297,1,0.0552,0.229,7.26e-05,0.101,0.827,145.508
Nobody's Listening,Linkin Park,spotify:track:6O8Fqxnk5OlOivJHklfkPZ,0.502,0.831,2,-3.723,1,0.295,0.105,1.3e-06,0.174,0.451,199.972
Whiskey In The Jar,Metallica,spotify:track:3ZpWy5rBZv2aLQAldnmTsP,0.511,0.972,10,-3.751,1,0.0413,5.36e-06,0.00101,0.19,0.532,132.97
I Fought the Law,Dead Kennedys,spotify:track:4AjNTrJmgry75yiihCMOP8,0.237,0.942,7,-4.738,1,0.069,0.000348,0.00362,0.316,0.592,180.51
Rolling in the Deep,Adele,spotify:track:1CkvWZme3pRgbzaxZnTl5X,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945
Set Fire to the Rain,Adele,spotify:track:3CKCZ9pfwAfoMZlMncA1Nc,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003
I Want It That Way,Backstreet Boys,spotify:track:6e40mgJiCid5HRAGrbpGA6,0.689,0.702,6,-5.642,0,0.0261,0.216,0.0,0.159,0.484,99.031
"One Bourbon, One Scotch, One Beer",George Thorogood & The Destroyers,spotify:track:0u6Quwu7pe0lxJJPsRe4Mf,0.59,0.855,4,-9.486,1,0.163,0.0679,0.00377,0.174,0.793,136.648
Get A Haircut,George Thorogood & The Destroyers,spotify:track:4BapXuAFLZlURi8Vyg16eE,0.614,0.708,7,-8.456,1,0.0307,0.0115,0.0,0.0586,0.849,120.651
Sweet Dreams (Are Made Of This),Marilyn Manson,spotify:track:3D0bXrSv7O73vOaGOG8J9c,0.222,0.664,0,-5.242,0,0.0379,0.0039,0.65,0.239,0.101,186.044
Bye Bye Blackbird,Joe Cocker,spotify:track:2l98TtzrTbSpJa7mGMpZM2,0.506,0.392,10,-12.784,1,0.0373,0.713,0.000574,0.316,0.268,123.81
One Way Or Another,Blondie,spotify:track:59CLe8stbcx4XYBWdsfbwK,0.442,0.922,2,-5.086,1,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272
Goodbye Earl,The Chicks,spotify:track:7rqaqQurHzR5xHAhdm1gmM,0.705,0.7,0,-7.38,1,0.0295,0.0192,0.0,0.0755,0.765,122.841
For the Longest Time,MC6 A Cappella,spotify:track:0PuWvFJqZPJAxZNrFgw8xL,0.616,0.298,2,-7.712,1,0.0274,0.78,0.0,0.0973,0.712,82.471
Cartoon Heroes - Iti’s Soda Club Radio Mix,Aqua,spotify:track:4DdzlEP5THcWv6FgClaJFW,0.697,0.861,5,-8.449,0,0.0295,0.00837,0.000301,0.339,0.772,134.051
Better Off Alone (Remastered) - 1999 Original Hit Radio,Alice Deejay,spotify:track:48gBfTRel9fajeev7tmLpo,0.666,0.854,8,-8.442,0,0.0565,0.0044,0.769,0.313,0.748,136.954
Ymca,Village People,spotify:track:7Cp69rNBwU0gaFT8zxExlE,0.715,0.951,6,-6.488,1,0.132,0.152,0.0,0.302,0.671,126.643
My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),Cecilia Krull,spotify:track:5ZEQjTroORCu6uWvZrdeNc,0.427,0.647,6,-8.944,0,0.0353,0.102,2.13e-06,0.133,0.298,99.753
Poison - DJ Gollum meets Money G Radio Edit,DJ Gollum,spotify:track:6lM6NpMPNAcdwPUbpq1mWb,0.657,0.949,9,-4.037,1,0.0626,0.00067,0.00067,0.201,0.49,145.059
Baker Street,Gerry Rafferty,spotify:track:5gOd6zDC8vhlYjqbQdJVWP,0.497,0.349,7,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762
Rumour Has It,Adele,spotify:track:76N7FdzCI9OsiUnzJVLY2m,0.618,0.753,7,-5.05,0,0.0451,0.637,0.0,0.0905,0.557,120.041
Every Breaking Wave,U2,spotify:track:0gcPlCmT36t4uzSwlIrfQh,0.672,0.441,1,-9.065,0,0.0268,0.00991,6.7e-06,0.109,0.429,115.059
Someone Like You,Nick Pitera,spotify:track:4DPtx2N4uFTKOMzL1P2gsq,0.405,0.2,9,-12.873,1,0.0387,0.85,0.0,0.0744,0.213,134.926
Together Again,Dave Koz,spotify:track:7igzgZaMWs7r1YVCC3orR0,0.618,0.778,5,-6.372,1,0.0423,0.0708,0.000481,0.21,0.729,92.843
You Can't Always Get What You Want,Ituana,spotify:track:31kL6SK7esUd0QRkrkjI8Q,0.721,0.462,0,-9.954,1,0.0459,0.308,0.000172,0.0875,0.158,130.042
I Guess That's Why They Call It The Blues,Elton John,spotify:track:23l1kVpqMVREiwU1YAlcr4,0.673,0.663,0,-7.29,1,0.0269,0.217,0.017,0.177,0.671,120.634
All of Me,Smooth Jazz All Stars,spotify:track:3bvRARdk20BEU86fxVZKIz,0.719,0.229,8,-10.239,1,0.0333,0.984,0.883,0.104,0.289,125.983
Mirrors,Smooth Jazz All Stars,spotify:track:4cR5db5RtWV8NSYwYFFdx1,0.688,0.659,0,-7.617,0,0.083,0.572,0.922,0.323,0.638,75.364
High For This,Smooth Jazz All Stars,spotify:track:0XKSkAfBeNoaYzRaUhnKyz,0.588,0.225,11,-11.139,0,0.034,0.798,0.632,0.0693,0.102,74.976
I Started a Joke,Smooth Jazz All Stars,spotify:track:38AOofRhmCUIxTpn1wvcb1,0.709,0.29,7,-11.023,1,0.0335,0.928,0.776,0.109,0.206,147.942
What The World Needs Now Is Love,Burt Bacharach,spotify:track:6JFgBE2seXKTUkHdOVq3N1,0.41,0.214,2,-16.48,0,0.0289,0.829,0.0165,0.0851,0.18,92.839
Help - Live,DC Talk,spotify:track:4p5P52AXF1JOgzCPmoOvGt,0.473,0.91,9,-6.728,1,0.0664,0.0655,0.0,0.607,0.607,101.122
Levels,Avicii Cover Band,spotify:track:5nVppf6qgPqdHEkV3acLQo,0.576,0.495,1,-9.557,0,0.027,0.156,0.242,0.346,0.389,128.052
Ibang - Original Mix,Acid Pauli,spotify:track:61Osll9KkZS6EFi1svSEnY,0.91,0.487,0,-12.205,1,0.0794,0.00261,0.676,0.109,0.0647,123.018
I Wish We'd All Been Ready,Larry Norman,spotify:track:1lovNibE6WsrWvXYmVyeEA,0.37,0.291,7,-14.216,1,0.0272,0.522,0.00553,0.66,0.35,71.323
Heaven - Candlelight Mix,DJ Sammy,spotify:track:6ZbeoJ5NW0hhmSjjyfsX00,0.519,0.189,2,-11.54,1,0.0375,0.967,0.000802,0.0717,0.386,124.964
Heaven,DJ Sammy,spotify:track:0KT6DLAELYSbgfUemzwGPX,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000406,0.152,0.568,137.973
Japanese Gum,Her Space Holiday,spotify:track:1X937gcn6Bub06IdNOvrfS,0.591,0.829,11,-8.566,1,0.0384,0.28,0.00867,0.11,0.775,90.013
The Funeral,Band of Horses,spotify:track:4o0NjemqhmsYLIMwlcosvW,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507
"Touch-A, Touch-A, Touch Me",Susan Sarandon,spotify:track:2SK1kGbpABI9EyUbADSP5z,0.355,0.351,1,-13.572,1,0.0621,0.16,0.0,0.109,0.431,171.896
Кольщик,Leningrad,spotify:track:0L9QnU8wWtiULsZ2lMiLAc,0.507,0.457,11,-4.921,0,0.0891,0.345,8.27e-05,0.0972,0.291,134.577
Dirty Computer (feat. Brian Wilson),Janelle Monáe,spotify:track:7nJZ9LplJ3ZAyhQyJCJk0K,0.45,0.488,9,-8.702,1,0.0329,0.38,3.38e-05,0.649,0.272,159.965
"Crazy, Classic, Life",Janelle Monáe,spotify:track:06EAtSDu3KSoi4fbA3ZjoB,0.466,0.706,6,-7.943,0,0.0544,0.0084,0.00163,0.223,0.149,101.009
Masterpiece,Jessie J,spotify:track:4PYiIgzcp4o5pEYji1xY9q,0.661,0.733,0,-2.7,0,0.0434,0.0153,0.0,0.0982,0.612,143.932
If Everyone Cared,Nickelback,spotify:track:44w63XqGr3sATAzOnOySgF,0.519,0.85,6,-4.678,0,0.0354,0.000246,0.014,0.279,0.211,132.022
The Sound of Silence,Disturbed,spotify:track:1Cj2vqUwlJVG27gJrun92y,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794
"So Long, And Thanks For All The Fish",A Perfect Circle,spotify:track:4R5kwDx0ryIMiK2PKqbNVY,0.5,0.874,2,-3.867,1,0.0371,0.00147,0.0664,0.0714,0.331,130.048
Photograph,Nickelback,spotify:track:2wdEXKLcuU7B0M2gqFmABH,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916
"Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack",Alison Krauss,spotify:track:5tePn9lOIMHfFaqoTxFrio,0.526,0.166,4,-15.227,1,0.0859,0.964,0.0,0.229,0.549,131.375
Angel - Angelic Radio Mix,Joee,spotify:track:2zhik9UYGXKQc6lfPK5cLU,0.675,0.861,0,-9.269,1,0.0274,0.00182,0.000179,0.199,0.783,135.063
Castles In The Sky (featuring Marsha),Ian van Dahl,spotify:track:1AyMm0UfxY4eKHdRvZxdHB,0.572,0.863,0,-6.543,0,0.0319,0.00277,0.448,0.0323,0.681,140.021
Love The Way You Lie,Eminem,spotify:track:15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989
Stranger in My House - Thunderpuss Radio Mix,Tamia,spotify:track:3OoyGUkW4Ob6RMrzrehx4i,0.698,0.991,9,-4.29,0,0.068,0.11,0.0016,0.261,0.321,132.993
99 Luftballons,Nena,spotify:track:6HA97v4wEGQ5TUClRM0XLc,0.466,0.438,4,-12.858,1,0.0608,0.089,5.62e-06,0.113,0.587,193.1
99 Red Balloons,Oliver Nelson,spotify:track:6JZqV6QpI0etVFD8UWaLqe,0.649,0.869,1,-5.422,0,0.0459,0.0193,0.0589,0.236,0.48,102.049
Feel like Makin' Love - 2015 Remaster,Bad Company,spotify:track:3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126
Angel Of The Morning,Juice Newton,spotify:track:6NVB6W7G3svCKe5zB7kY8q,0.456,0.233,8,-12.634,1,0.0255,0.433,6.42e-05,0.0538,0.424,75.174
Can't Fight This Feeling,REO Speedwagon,spotify:track:5WwqdeavrQrbeAMDxGawse,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
The Lady In Red,Chris de Burgh,spotify:track:5tHbBxWjTxaQpL5SrT17Tz,0.59,0.306,10,-16.326,1,0.0325,0.328,6.95e-06,0.0377,0.493,77.069
Girls Just Want to Have Fun,Cyndi Lauper,spotify:track:4y1LsJpmMti1PfRQV9AWWe,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372
Majestic,Wax Fang,spotify:track:5yzxbU3DPhyfQvBBJExzb7,0.499,0.364,2,-8.839,1,0.0307,0.467,0.0989,0.115,0.271,155.075
I Dreamed a Dream,Susan Boyle,spotify:track:1uenbEVPd129TmVPXyn9Lv,0.286,0.378,10,-8.752,1,0.0382,0.803,0.000518,0.107,0.113,69.316
Closing Time,Semisonic,spotify:track:087OBLtoeS3Q6j0k6tMNAI,0.486,0.867,7,-5.483,1,0.0295,0.0237,1.66e-06,0.155,0.281,92.757
What I Like About You,The Romantics,spotify:track:6NdcSEhpGGAYXNnnhGS2s6,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34e-05,0.171,0.92,159.81
Hurt,Nine Inch Nails,spotify:track:4pFnV6aV1bnEDqPDGBlrNp,0.485,0.193,11,-16.985,0,0.0322,0.697,0.0262,0.135,0.079,79.926
Outside,Staind,spotify:track:50Re2bLgXqG9qN7v2QHNTm,0.515,0.594,1,-4.708,1,0.0262,0.00844,0.00658,0.0752,0.218,146.564
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,spotify:track:0iOZM63lendWRTTeKhZBSC,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
Knoxville Girl,The Lemonheads,spotify:track:6hWj5dS3JC258KGZtH3Xrm,0.327,0.533,2,-7.762,1,0.0317,0.451,0.0706,0.284,0.589,189.23
Pour Me,Hollywood Undead,spotify:track:4rx8uIKssxGV1S1lCZMgLc,0.593,0.727,0,-6.132,1,0.0366,0.0582,0.0,0.0656,0.446,86.495
Worth As Much As A Counterfeit Dollar,Capital Lights,spotify:track:5S4iqbelathvMs6wlkXfmn,0.494,0.923,1,-4.636,1,0.0406,0.00451,0.0,0.124,0.869,169.949
Hard to Say I'm Sorry / Get Away - 2006 Remaster,Chicago,spotify:track:07TnWCHrFkvF61GzJuLVt0,0.398,0.57,4,-7.068,1,0.034,0.056,0.00125,0.0606,0.234,140.974
Everything Will Be Okay,Home Free,spotify:track:5HU3yt8W02dO6umISJyjoP,0.475,0.563,10,-6.359,1,0.0367,0.16,2.06e-06,0.127,0.604,77.976
Summertime Sadness (Acoustic Cover) feat. Keelan Donovan,Megan Davies,spotify:track:6TqDrmjUDqQo4JiF1apQnL,0.62,0.403,1,-6.998,0,0.0393,0.636,0.0,0.128,0.528,135.84
Hooray For You,Huntingtons,spotify:track:2eUhz7juIgtpev3cRdAKPz,0.46,0.923,9,-4.462,1,0.0324,0.000425,0.0,0.731,0.494,155.105
(Dying Inside) To Hold You - Heartbreak Radio Edit,Timmy Thomas,spotify:track:4TNuDumYtmoFMmQtFlpWvS,0.52,0.669,0,-12.925,1,0.0417,0.011,4.83e-05,0.13,0.694,203.097
Do They Know It's Christmas? - 1984 Version,Band Aid,spotify:track:0247StOpd3AkeBQzANX4Zf,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412
Heartbreak Hotel,Heidi Feek,spotify:track:30gdw2QqmH3XaXMIrPVkXs,0.422,0.437,4,-8.206,0,0.0402,0.61,0.00487,0.0843,0.505,161.636
Champagne Supernova - Remastered,Oasis,spotify:track:40bynawzslg9U7ACq07fAj,0.286,0.796,2,-4.625,1,0.0388,0.47,0.063,0.364,0.12,150.272
Twist,KiDi,spotify:track:6Nvip0xG8VFFR2DwDGS3be,0.855,0.59,6,-5.608,0,0.0449,0.364,2.67e-05,0.126,0.926,104.984
Measure Of A Man,Clay Aiken,spotify:track:34bM8eF9L5b6n9jFWSp0lQ,0.455,0.761,3,-4.734,1,0.0373,0.102,0.0,0.168,0.494,163.998
Eloi,Klaus Badelt,spotify:track:2iaS8Zl5jfBpqNJfxfmS2B,0.119,0.088,11,-15.926,0,0.0365,0.787,0.0266,0.101,0.0438,90.633
Eye of the Tiger,Survivor,spotify:track:2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873
Do You Really Want To Hurt Me,Culture Club,spotify:track:5WfOZiINWQ8r8pZE1dbXHm,0.737,0.492,4,-9.631,0,0.0306,0.109,0.0,0.17,0.35,100.495
Say Something,Pentatonix,spotify:track:2SrJ0Iw6GobiRGyh2XKZhV,0.249,0.248,7,-8.976,1,0.0333,0.71,0.0,0.093,0.0812,150.318
Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
Empire State of Mind (Part II) Broken Down,Alicia Keys,spotify:track:5sra5UY6sD658OabHL3QtI,0.484,0.368,6,-7.784,1,0.0341,0.74,3.82e-05,0.118,0.142,92.923
Wicked Game,Chris Isaak,spotify:track:390AWnOn2rfe9FzQjYmxIH,0.667,0.548,9,-7.802,1,0.0262,0.744,0.0122,0.0946,0.29,112.549
Getting Even,White Lies,spotify:track:7aovkxVF2B9I3SKXGTxnA9,0.5,0.909,8,-5.006,1,0.0424,0.000319,0.0204,0.111,0.307,102.481
Whatcha Say,Jason Derulo,spotify:track:67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036
They Don't Know About Us,One Direction,spotify:track:72C7aUQECOhNtnD0AC36ua,0.512,0.754,0,-6.031,1,0.0549,0.135,0.0,0.0881,0.336,147.89
Voices in My Head,NerdOut,spotify:track:5kzbfGqjoKxbKQGl8RFuCg,0.634,0.607,7,-6.787,1,0.0301,0.00186,0.0,0.142,0.359,91.996
Top Of The World,Carpenters,spotify:track:4mtUOBfy2KjqTOPl7N8esR,0.378,0.349,10,-12.918,1,0.0455,0.817,0.0,0.0999,0.663,184.428
If I Could Turn Back Time,Cher,spotify:track:6mYrhCAGWzTdF8QnKuchXM,0.658,0.575,11,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329
Believe,Cher,spotify:track:2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975
The Thunder Rolls,Brooks Jefferson,spotify:track:6Ra5YZBdQRVRHX1GhRA4hH,0.562,0.646,2,-4.937,0,0.0372,0.408,4.39e-05,0.122,0.274,81.77
The Scotsman - Live At The Winfield National Flat Picking Festival,Bryan Bowers,spotify:track:4uCoSdXBPQIJHbGsI51yjc,0.72,0.263,11,-14.08,1,0.0732,0.898,0.0,0.713,0.825,108.733
Mambo Rap,Parov Stelar,spotify:track:14RrzxMs07EhE8bUso5Pso,0.94,0.837,9,-4.143,0,0.146,0.079,2.63e-05,0.135,0.924,119.985
The Middle,Jimmy Eat World,spotify:track:3mcG2NI5G5vhrQtRda1YnA,0.629,0.897,2,-3.401,1,0.0483,0.0424,0.0,0.263,0.93,161.944
The End of the World,Skeeter Davis,spotify:track:5DTOOkooKFUvWj1XQTFa09,0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268
Girls on Film - 2010 Remaster,Duran Duran,spotify:track:4EFkvOhgAmlHEfDfvfSoh5,0.725,0.859,7,-6.208,1,0.0636,0.0173,0.0137,0.048,0.53,131.697
Jesus Freak - Remastered 2013,DC Talk,spotify:track:4zAjQDduJhIRFSpfrIN68Z,0.599,0.837,5,-4.045,0,0.0394,0.00684,6.93e-05,0.104,0.561,104.457
Hasa Diga Eebowai,Michael Potts,spotify:track:52a9fyhPzrMz6bxVQoEIcX,0.76,0.605,6,-8.782,1,0.372,0.431,0.0,0.141,0.452,105.69
When Love Is Gone,Martina McBride,spotify:track:0RkafZ3fY16vMfVWnqNXbX,0.548,0.246,2,-13.453,1,0.0355,0.732,0.0,0.361,0.1,122.466
Primadonna,MARINA,spotify:track:5tFMuAw6X2R4NLx97g7n9q,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98
I'm Gonna Show You Crazy,Bebe Rexha,spotify:track:5LtNBCM2ve0SxP0dlRVvMu,0.474,0.537,2,-6.77,1,0.0649,0.0758,0.0,0.316,0.335,90.103
Every Rose Has Its Thorn,Miley Cyrus,spotify:track:2GFAmPwmQByPEeWcjiR8AE,0.254,0.657,10,-4.995,1,0.0385,0.19,0.0,0.0952,0.352,151.045
What Have We Become? - Remastered 2013,DC Talk,spotify:track:4HwHhuBVrfslXOH5NJukXp,0.539,0.792,5,-4.721,0,0.0355,0.0474,2.07e-06,0.0977,0.682,81.576
What If I Stumble? - Remastered 2013,DC Talk,spotify:track:6amSl4oPLY4f64BoXJUyNu,0.462,0.665,0,-5.617,1,0.0288,0.157,1.44e-06,0.14,0.683,177.25
Don't Stop Believing,Royal Philharmonic Orchestra,spotify:track:1ZhnDc12qOsieOVnzaCzj5,0.485,0.425,4,-14.967,1,0.0311,0.00342,0.706,0.0913,0.21,118.456
Hey You,Royal Philharmonic Orchestra,spotify:track:3d3ViPfNgBz1DY6ufIrL2o,0.426,0.378,4,-11.752,0,0.0292,0.335,0.833,0.266,0.124,113.033
Another Brick In The Wall,Royal Philharmonic Orchestra,spotify:track:6EUpjBbuUmZcJSrZob17m5,0.37,0.444,0,-12.24,1,0.0303,0.18,0.917,0.109,0.314,103.016
Like a Prayer,Royal Philharmonic Orchestra,spotify:track:0TWQfCwgSLINS5seX0Ebbr,0.616,0.787,5,-8.483,1,0.0378,0.209,0.118,0.0403,0.528,112.028
Another One Bites The Dust,Royal Philharmonic Orchestra,spotify:track:3pGOB8Ity9DrMcAwW7ELg0,0.833,0.246,9,-14.249,1,0.0491,0.578,0.807,0.297,0.685,109.999
We Will Rock You,Royal Philharmonic Orchestra,spotify:track:0pMkNleRk8eFlHZJqIox23,0.597,0.46,9,-11.666,1,0.0309,0.361,0.324,0.0542,0.742,83.025
Sound Of Silence,Royal Philharmonic Orchestra,spotify:track:3mMx3fRT8cJCvseVMhskMa,0.23,0.18,6,-13.444,1,0.0383,0.9,0.679,0.0745,0.118,130.449
Mrs Robinson,Royal Philharmonic Orchestra,spotify:track:4zSxh0nUbiUAePK7DlJ194,0.431,0.421,6,-10.887,0,0.0286,0.706,0.0537,0.527,0.414,94.044
Set Fire To the Rain,The Regency Philharmonic Orchestra,spotify:track:04DeGBgk6QohjwiXOXkPFn,0.462,0.305,2,-15.147,0,0.0302,0.00104,0.886,0.115,0.116,107.934
Hallelujah,The Regency Philharmonic Orchestra,spotify:track:1p4nx7itnQLpDuVwuA3hss,0.0659,0.0846,9,-20.033,0,0.0407,0.868,0.856,0.311,0.0378,63.435
Somebody To Love - Remastered 2011,Queen,spotify:track:6cFZ4PLC19taNlpl9pbGMf,0.497,0.693,8,-7.024,1,0.0565,0.19,0.0,0.215,0.358,111.539
All You Need Is Love,Royal Philharmonic Orchestra,spotify:track:1WqoNZd1qjPOuV3yGlDGfj,0.283,0.278,7,-16.084,1,0.0338,0.735,0.14,0.42,0.395,115.751
Cheerio,The Monroes,spotify:track:1Jr9IcDZqYYVMmE853Yc5u,0.533,0.506,7,-7.304,1,0.0245,0.565,0.0,0.113,0.252,74.816
The Ballad Of The Green Berets,Sgt. Barry Sadler,spotify:track:0yjNmllr3Ew6f97TqPuEqa,0.715,0.327,0,-11.814,1,0.033,0.782,0.000344,0.625,0.713,84.369
Rainbow Connection,The Whiffenpoofs,spotify:track:5bS7oLqrFoxwuEmBNoFufG,0.28,0.215,10,-11.296,1,0.0337,0.921,0.0,0.113,0.0905,132.223
The Lady in Red - Chill out Version,Adam Story,spotify:track:34jy1SonG5AzaLuz07N94b,0.541,0.385,4,-13.304,1,0.0271,0.169,0.000686,0.0974,0.38,143.988
Carry on Wayward Son,Facing West,spotify:track:0wXh8X9cQTtbehMwVIWL4r,0.293,0.273,7,-12.695,0,0.0335,0.0941,2.93e-05,0.134,0.132,180.052
